pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbincl,pl_insol,pl_eqt,pl_imppar,pl_trandur,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_loggerr2,st_met,st_meterr1,st_meterr2,st_dens,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w4mag,sy_gaiamag,sy_tmag,sy_snum,sy_pnum,sy_mnum,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_pm,sy_pmra,sy_pmdec,glon,glat,orbital_size_score,stellar_scale_score,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec,pl_rade,pl_bmasse,orbital_speed_proxy,eccentricity_mass_interaction,log_orbper
4.76559135,2.848e-05,-2.848e-05,0.0522,,,0.0,88.81,439.42,1168.0,0.3305,2.165,0.8338061839257473,0.148,-0.056,1.149175146926307,0.419,-0.25,5699.386765307761,192.0,-161.0,4.258,0.221,-0.24,-0.28,0.34,-0.24,3.42468,13.408034134105694,0.092,-0.092,14.213,0.012,-0.012,11.989,0.02,-0.02,11.603,0.024,-0.024,11.532,0.021,-0.021,11.477,0.021,-0.021,11.544,0.02,-0.02,11.839,0.219,-0.219,8.94,13.1697,12.6832,1,1,0,1456.833378186793,1.897,-1.878,2.74181,23.1282875,1.72057,23.0642,69.60258,13.35942,3.351573945,1.962,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.76,91.29485344827586,0.0,0.6781167988058551
3.70063251,1.772e-05,-1.772e-05,,,,,,,,,,,,,2.1246876897556914,,,5149.210579285093,92.6,-92.6,,,,-0.1245,0.0075,-0.0075,,13.086933525979257,0.092,-0.092,14.054,0.02,-0.02,11.669,0.021,-0.021,11.261,0.022,-0.022,11.171,0.019,-0.019,11.141,0.023,-0.023,11.199,0.021,-0.021,11.019,0.091,-0.091,8.91,13.0059,12.4638,1,1,0,825.3667111754958,7.863,-7.863,1.42803,16.6589067,9.95485,13.3574,73.42561,10.83253,,,0.0,0.0,0.0,0.0,0.0,0.0,2.302,4.1,,,0.5682759597767255
4.22534982536,2.208195e-05,-2.208195e-05,,,,,,342.3014,1097.04,,2.7695297,,,,1.0528636131421245,,,5509.280534011544,122.0,-122.0,4.39363,,,,,,,14.1538921224461,0.194,-0.194,14.754,0.01,-0.01,12.746,0.021,-0.021,12.426,0.02,-0.02,12.354,0.019,-0.019,12.312,0.023,-0.023,12.375,0.023,-0.023,12.17,0.228,-0.228,9.025,13.9616,13.4584,1,1,0,730.889370905175,6.431,-6.305,1.55653,5.5855406,-4.24802,-3.62665,73.21539,14.96283,,,0.0,0.0,0.0,0.0,0.0,0.0,8.88931966,59.0,,,0.6258626709032546
4.5100449117,1.86412e-05,-1.86412e-05,,,,,,,,,,0.9347926096978278,,,0.8430181053731423,,,5384.397315753829,122.0,-122.0,4.54394,,,,,,2.107324,15.071750983327444,0.195,-0.195,15.335,0.065,-0.065,13.686,0.021,-0.021,13.262,0.022,-0.022,13.172,0.03,-0.03,13.188,0.025,-0.025,13.218,0.027,-0.027,12.795,0.405,-0.405,9.068,14.9192,14.3925,1,1,0,913.2669694421904,14.012,-13.527,1.27418,7.3257882,-6.54605,-3.28883,79.40716,10.7715,,1.7837010000000002,0.0,0.0,0.0,0.0,0.0,0.0,2.302,2.73,,,0.6541808666687291
85.3139,0.0017,-0.0017,,,,0.01,,,,,,0.9907621869836268,0.012,-0.012,0.854633917769236,0.011,-0.011,5646.191802700188,60.0,-60.0,4.7,0.1,-0.1,0.05,0.04,-0.04,2.03,14.960827574872578,0.126,-0.126,15.119,0.042,-0.042,13.562,0.023,-0.023,13.219,0.023,-0.023,13.197,0.037,-0.037,13.099,0.025,-0.025,13.125,0.025,-0.025,13.139,,,9.082,14.6777,14.2045,1,4,0,3399.2953541773504,13.669,-13.218,1.24726,7.4576527,0.006318,-7.45765,83.11258,12.36242,,1.866,0.0,0.0,0.0,0.0,0.0,0.0,8.98,4.0,,0.009907621869836269,1.9310197955461792
10.937304,7.3e-05,-7.3e-05,0.091,,,,,,,0.89,3.084,,,,0.9840660848144592,0.497,-0.497,5300.346262772639,200.0,-200.0,4.426,0.3,-0.3,,,,,14.823222895086342,0.137,-0.137,15.646,0.194,-0.194,13.159,0.027,-0.027,12.833,0.031,-0.031,12.708,0.025,-0.025,12.684,0.023,-0.023,12.765,0.024,-0.024,13.055,0.509,-0.509,9.347,14.6591,14.0701,1,3,0,3535.478546010737,13.909,-13.909,1.09547,2.2946868,-1.85509,-1.35064,81.87731,9.70399,7.683412799999999,,0.0,0.0,0.0,0.0,0.0,0.0,2.25,5.69,120.19015384615385,,1.0389102834035213
3.80001,0.00018,-0.00018,,,,,,,,,1.79808,,,,0.7505955123815777,0.03,-0.03,4453.558211020042,143.0,-143.0,4.631,0.025,-0.025,,,,,13.359585406238637,0.069,-0.069,14.832,0.07,-0.07,11.145,0.027,-0.027,10.487,0.03,-0.03,10.326,0.019,-0.019,10.282,0.024,-0.024,10.342,0.021,-0.021,10.195,0.088,-0.088,8.677,13.0172,12.2341,1,1,0,582.0676097933488,0.583,-0.579,6.93252,33.2370806,-0.0732176,-33.237,188.78409,8.89777,,,0.0,0.0,0.0,0.0,0.0,0.0,40.0,241.5508,,,0.5797847394955219
5.61357629,3.867e-05,-3.867e-05,0.0647,,,0.0,88.81,485.48,1197.0,0.2618,2.95,1.161242736578122,0.258,-0.16,1.1613752342852797,0.636,-0.143,6415.637291027514,155.0,-258.0,4.373,0.076,-0.319,-0.12,0.2,-0.32,1.72698,14.827734710423895,0.103,-0.103,15.397,0.006,-0.006,13.724,0.024,-0.024,13.436,0.027,-0.027,13.384,0.042,-0.042,13.33,0.024,-0.024,13.401,0.025,-0.025,12.964,0.457,-0.457,9.554,14.77,14.3437,1,3,0,1266.0783862452556,24.62,-23.54,0.916013,4.8288131,3.21776,-3.60048,83.72613,12.80293,3.948913403,2.299,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.86,86.76315749613602,0.0,0.7492396291998399
6.8399,0.0013,-0.0013,0.077,,,0.225,,,,,,1.3420430728835375,0.07,-0.07,,,,5998.7039584106105,62.0,-62.0,4.05,0.22,-0.22,0.1,0.08,-0.08,,6.723033001450304,0.023,-0.023,7.267,0.022,-0.022,5.518,0.027,-0.027,5.4,0.069,-0.069,5.26,0.018,-0.018,5.133,0.128,-0.128,5.044,0.081,-0.081,5.25,0.015,-0.015,5.175,6.51831,6.12,3,1,0,69.01797724936755,0.0843,-0.084,19.2049,86.7055997,-31.4986,-80.7818,63.27132,3.58055,4.81103,,1.0,2.0,1.0,0.0,0.0,0.0,2.302,321.0083,88.82987012987013,0.30195969139879597,0.8350497523391718
27.07237655,8.99e-05,-8.99e-05,0.181,,,0.0,89.97,31.58,605.0,0.015,6.9592,1.0943286896035247,0.058,-0.065,1.0015285984123998,0.119,-0.04,5936.132303458902,65.0,-94.0,4.501,0.016,-0.093,0.07,0.15,-0.15,0.72049,14.8657786585128,0.08,-0.08,15.643,0.055,-0.055,13.293,0.024,-0.024,12.897,0.026,-0.026,12.841,0.03,-0.03,12.809,0.024,-0.024,12.823,0.028,-0.028,12.102,0.234,-0.234,9.335,14.5416,14.018,1,1,0,1517.3513955257033,35.1,-33.35,0.731986,17.6468181,-7.54083,-15.9545,76.08384,8.00979,19.004963585,2.04,0.0,0.0,0.0,0.0,0.0,0.0,2.18,5.35,149.571141160221,0.0,1.4325263820079344
